YEAR,TOTAL IPC CRIMES,Growth %
2001,1714924,
2002,1731193,0.9486717778746989
2003,1668716,-3.608898603448607
2004,1778387,6.572178848887411
2005,1766537,-0.6663341556140456
2006,1820330,3.045110292057296
2007,1933608,6.222937599226519
2008,2044029,5.710619732644884
2009,2071094,1.3241005876139633
2010,2173539,4.946419621707165
2011,2272222,4.540199186672056
2012,2332901,2.670469698823452
